Cocktail_Name,Liquor,Garnish,Glassware,Original_Source,Ingredient_1,Measurement_1,Ingredient_2,Measurement_2,Ingredient_3,Measurement_3,Ingredient_4,Measurement_4,Ingredient_5,Measurement_5,Ingredient_6,Measurement_6,Ingredient_7,Measurement_7,Ingredient_8,Measurement_8,Ingredient_9,Measurement_9,Ingredient_10,Measurement_10,Ingredient_11,Measurement_11,Ingredient_12,Measurement_12,Ingredient_13,Measurement_13,Ingredient_14,Measurement_14,Ingredient_15,Measurement_15,Instruction_1,Instruction_2,Instruction_3,Instruction_4,Instruction_5,Instruction_6,Instruction_7,Instruction_8,Instruction_9,Instruction_10,Instruction_11,Instruction_12,Instruction_13,Instruction_14,Instruction_15,Instruction_16,Instruction_17,Instruction_18,Instruction_19,Instruction_20,Instruction_21,Instruction_22,Instruction_23
Chocolate Milk,Liqueur,N/A,Shot Glass,N/A,Chocolate liqueur,1/2 shot ,Milk,1/2 shot ,Amaretto,1 dash ,,,,,,,,,,,,,,,,,,,,,,,,,"1: Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto.",2: Do not mix.,,,,,,,,,,,,,,,,,,,,,
Clove Cocktail,Vermouth,N/A,Cocktail glass,N/A,Sweet Vermouth,1 oz ,Sloe gin,1/2 oz ,Wine,1/2 oz Muscatel ,,,,,,,,,,,,,,,,,,,,,,,,,"1: Stir all ingredients with ice, strain into a cocktail glass, and serve.",,,,,,,,,,,,,,,,,,,,,,
Coffee Liqueur,Vodka,N/A,Collins Glass,N/A,Coffee,10 tblsp instant ,Vanilla extract,4 tblsp ,Sugar,2 1/2 cups ,Vodka,1 qt ,Water,2 1/2 cups ,,,,,,,,,,,,,,,,,,,,,"1: Combine coffee, sugar and water.",2: Simmer 1 hour and let cool.,3: Add vanilla and vodka.,4: Age in sealed jar 2 to 3 weeks.,,,,,,,,,,,,,,,,,,,
Derby,Gin,N/A,Cocktail glass,N/A,gin,6 cl,Peach Bitters,2 dashes,Mint,2 Fresh leaves,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour all ingredients into a mixing glass with ice.,2: Stir.,3: Strain into a cocktail glass.,4: Garnish with a sprig of fresh mint in the drink.,,,,,,,,,,,,,,,,,,,
Diesel,Other,N/A,Pint glass,N/A,Lager,1/2 pint ,Cider,1/2 pint ,Blackcurrant cordial,1 dash ,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour the lager first then add the blackcurrant cordial.,2: Top up with the cider.,3: The colour sholud be very dark approaching the colour of Guiness.,,,,,,,,,,,,,,,,,,,,
Daiquiri,Rum,N/A,Cocktail glass,N/A,Light rum,1 1/2 oz ,Lime,Juice of 1/2 ,Powdered sugar,1 tsp ,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour all ingredients into shaker with ice cubes.,2: Shake well.,3: Strain in chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,
Danbooka,Everclear,N/A,Coffee Mug,N/A,Coffee,3 parts ,Everclear,1 part ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: pour it in and mix it.,,,,,,,,,,,,,,,,,,,,,,
Downshift,Tequila,N/A,Hurricane glass,N/A,Fruit punch,2 part ,Sprite,1 part ,Tequila,2 shots ,151 proof rum,Float Bacardi ,,,,,,,,,,,,,,,,,,,,,,,1: Start with the Sprite.,2: Next comes the tequila.,"3: After that, add the Minute Maid Fruit Punch, then float the 151.",4: Rocks optional.,,,,,,,,,,,,,,,,,,,
Dragonfly,Gin,N/A,Highball glass,N/A,Gin,1 1/2 oz ,Ginger ale,4 oz ,Lime,1 ,,,,,,,,,,,,,,,,,,,,,,,,,"1: In a highball glass almost filled with ice cubes, combine the gin and ginger ale.",2: Stir well.,3: Garnish with the lime wedge.,,,,,,,,,,,,,,,,,,,,
Dry Martini,Gin,N/A,Cocktail glass,N/A,Gin,1 2/3 oz ,Dry Vermouth,1/3 oz ,Olive,1 ,,,,,,,,,,,,,,,,,,,,,,,,,1: Straight: Pour all ingredients into mixing glass with ice cubes.,2: Stir well.,3: Strain in chilled martini cocktail glass.,"4: Squeeze oil from lemon peel onto the drink, or garnish with olive.",,,,,,,,,,,,,,,,,,,
Dry Rob Roy,Scotch,N/A,Cocktail glass,N/A,Scotch,2 1/2 oz ,Dry Vermouth,1 1/2 tsp ,Lemon peel,1 twist of ,,,,,,,,,,,,,,,,,,,,,,,,,"1: In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth.",2: Stir well.,3: Strain into a cocktail glass.,4: Garnish with the lemon twist.,,,,,,,,,,,,,,,,,,,
Dirty Nipple,Baileys Irish Cream,N/A,Shot glass,N/A,Kahlua,,Sambuca,,Baileys irish cream,,,,,,,,,,,,,,,,,,,,,,,,,,1: This is a layered shot - the Bailey's must be on top.,,,,,,,,,,,,,,,,,,,,,,
Dirty Martini,Vodka,N/A,Cocktail glass,N/A,Vodka,70ml/2fl oz,Dry Vermouth,1 tbsp,Olive Brine,2 tbsp,Lemon,1 wedge,Olive,1,,,,,,,,,,,,,,,,,,,,,"1: Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.",2: Rub the rim of a martini glass with the wedge of lemon.,3: Strain the contents of the cocktail shaker into the glass and add the olive.,4: A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.,,,,,,,,,,,,,,,,,,,
Darkwood Sling,Other,N/A,Cocktail glass,N/A,Cherry Heering,1 part ,Soda water,1 part ,Orange juice,1 part ,Ice,cubes,,,,,,,,,,,,,,,,,,,,,,,"1: There are many good cherry liqueurs you can use, but I prefere Heering.",2: Add one share of the liqueur.,3: Then you add one share of Soda.,4: For a sour sling use Tonic (most people prefer the drink without Tonic).,5: Afterwards you fill the glass with Orange Juice and ice cubes.,,,,,,,,,,,,,,,,,,
Dark and Stormy,Rum,N/A,Highball glass,N/A,Dark Rum,5 cl,Ginger Beer,10 cl,,,,,,,,,,,,,,,,,,,,,,,,,,,1: In a highball glass filled with ice add 6cl dark rum and top with ginger beer.,2: Garnish with lime wedge.,,,,,,,,,,,,,,,,,,,,,
Dark Caipirinha,Other,N/A,Highball glass,N/A,demerara Sugar,2 tsp ,Lime,1,Cachaca,2 1/2 oz,,,,,,,,,,,,,,,,,,,,,,,,,1: Muddle the sugar into the lime wedges in an old-fashioned glass.,2: Fill the glass with ice cubes.,3: Pour the cachaca into the glass.,4: Stir well.,,,,,,,,,,,,,,,,,,,
Duchamp's Punch,Pisco,N/A,Old-fashioned glass,N/A,Pisco,5 cl,Lime Juice,2.5 cl,Pineapple Syrup,2.5 cl,St. Germain,1.5 cl,Angostura Bitters,2 Dashes,Pepper,Pinch,Lavender,2 sprigs,,,,,,,,,,,,,,,,,1: Shake all ingredients.,2: Double strain in a chilled double old fashioned glass with abig ice cube.,,,,,,,,,,,,,,,,,,,,,
Damned if you do,Whiskey,N/A,Shot glass,N/A,Whiskey,0.75 oz ,Hot Damn,0.25 oz ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour into shot glass.,2: Put in mouth.,3: Repeat as deemed necessary.,,,,,,,,,,,,,,,,,,,,
Dubonnet Cocktail,Gin,N/A,Cocktail glass,N/A,Dubonnet Rouge,1 1/2 oz ,Gin,3/4 oz ,Bitters,1 dash ,Lemon peel,1 twist of ,,,,,,,,,,,,,,,,,,,,,,,1: Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass.,2: Add the twist of lemon peel and serve.,,,,,,,,,,,,,,,,,,,,,
Death in the Afternoon,Absinthe,N/A,Margarita glass,N/A,Absinthe,2 shots,Champagne,Top,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: Easy as you like, pour the absinthe into a chilled glass, top with champagne.",2: Must be drunk mid afternoon for the optimum effect.,,,,,,,,,,,,,,,,,,,,,
English Highball,Brandy,N/A,Highball glass,N/A,Brandy,3/4 oz ,Gin,3/4 oz ,Sweet Vermouth,3/4 oz ,Carbonated water,,Lemon peel,,,,,,,,,,,,,,,,,,,,,,"1: Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes.",2: Fill with carbonated water.,"3: Add the twist of lemon peel, stir, and serve.","4: (Ginger ale may be substituted for carbonated water, if preferred.",,,,,,,,,,,,,,,,,,,
Espresso Martini,Vodka,N/A,Cocktail glass,N/A,Vodka,5 cl,Kahlua,1 cl,Sugar syrup,1 dash,,,,,,,,,,,,,,,,,,,,,,,,,"1: Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass.",,,,,,,,,,,,,,,,,,,,,,
Espresso Rumtini,Rum,N/A,Cocktail glass,N/A,Rum,1 shot,Vanilla syrup,1/2 shot,Espresso,1 shot,Coffee,1 shot,,,,,,,,,,,,,,,,,,,,,,,1: Mix together in a cocktail glass.,,,,,,,,,,,,,,,,,,,,,,
English Rose Cocktail,Brandy,N/A,Cocktail glass,N/A,Apricot brandy,3/4 oz ,Gin,1 1/2 oz ,Dry Vermouth,3/4 oz ,Grenadine,1 tsp ,Lemon juice,1/4 tsp ,Cherry,1 ,,,,,,,,,,,,,,,,,,,1: Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar.,2: Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass.,3: Top with the cherry and serve.,,,,,,,,,,,,,,,,,,,,
Elderflower Caipirinha,Other,N/A,Collins glass,N/A,Cachaca,60 ml,Lime,1,Elderflower cordial,3 cl,,,,,,,,,,,,,,,,,,,,,,,,,1: Take the glass and muddle the lime in it.,2: Fill the glass with crushed ice and add the Cachaca.,3: Stir well and top with some more crushed ice.,,,,,,,,,,,,,,,,,,,,
Empellón Cocina's Fat-Washed Mezcal,Mezcal,N/A,Beer Glass,N/A,Mezcal,2 oz,Chocolate liqueur,3/4 oz,Coffee liqueur,1/2 oz,,,,,,,,,,,,,,,,,,,,,,,,,"1: To ensure that your pork fat is just as delicious as theirs, here’s their adobo marinade and what to do with it (you’ll also need a rack of ribs):

4 ancho chiles, 8 guajillo chiles and 4 chipotle chiles, plus 4 cloves roasted garlic, half a cup of cider vinegar, a quarter teaspoon of Mexican oregano, 1 teaspoon of ground black pepper, a whole clove, a quarter teaspoon of ground cinnamon and a half teaspoon of ground cumin.",2: Toast the dried chiles and soak in water for at least an hour until they are rehydrated.,3: Drain and discard the soaking liquid.,4: Combine the soaked chiles with the remaining ingredients and purée until smooth.,5: Cold smoke a rack of baby back pork ribs by taking a large hotel pan with woodchips on one side and charcoal on the other.,"6: Place another, smaller, pan with pork ribs, above the charcoal/woodchip pan.","7: Ignite the charcoal, being careful to not ignite the woodchips.","8: Cover both pans with foil and allow to smoke for 10-15 minutes, until desired level of smoke is achieved, then coat with adobo marinade and wrap in tin foil prior to placing ribs in a 300 degree oven for 7 hours.","9: When the ribs have cooled, strain off the fat and use for the infusion.","10: If you’re having a hard time coming up to the same kind of volume of fat, make up the balance with pork lard from a butcher.","11: To get the same depth of flavor without the ribs, heat up the fat in a pot with a few spoons of the marinade.","12: Once you’ve got your tub of seasoned pork fat in cooled liquid form, pour equal amounts of Ilegal Joven mezcal and fat into a sealable container.","13: Seal the container and give it a really good shake, then put it in the freezer overnight.","14: When the whole thing is separated and congealed, pour it through a fine mesh chinoise.","15: If you don’t have a chinoise, try a fine mesh strainer, or if you don’t have one of those, try spooning off most of the fat.",16: There will be some beads of orange fat left in the strained mezcal: run that through a few layers of cheesecloth (or coffee filters in a pinch) to get rid of the last of it.,"17: The mezcal is now ready for drinking, straight-up or in a cocktail.","18: Habanero tincture

Slice habaneros and add 2 ounces Ilegal Joven mezcal.",19: Allow to sit overnight or until desired level of heat is achieved.,"20: Cocktail

Combine mezcal and chocolate liqueur in a mixing glass with ice and stir for 45 seconds.",21: Strain into chilled coupe.,"22: Carefully ""sink"" the coffee liqueur down the inside of the coupe over a spoon.",23: Garnish with 5 drops habanero tincture.
Frosé,Other,N/A,Cocktail glass,N/A,Rose,750 ml,Sugar,1/2 cup,Strawberries,8 oz,Lemon Juice,2-3 oz,,,,,,,,,,,,,,,,,,,,,,,"1: Step 1
Pour rosé into a 13x9"" pan and freeze until almost solid (it won't completely solidify due to the alcohol), at least 6 hours.","2: Step 2
Meanwhile, bring sugar and ½ cup water to a boil in a medium saucepan; cook, stirring constantly, until sugar dissolves, about 3 minutes.","3: Add strawberries, remove from heat, and let sit 30 minutes to infuse syrup with strawberry flavor.","4: Strain through a fine-mesh sieve into a small bowl (do not press on solids); cover and chill until cold, about 30 minutes.","5: Step 3
Scrape rosé into a blender.","6: Add lemon juice, 3½ ounces strawberry syrup, and 1 cup crushed ice and purée until smooth.","7: Transfer blender jar to freezer and freeze until frosé is thickened (aim for milkshake consistency), 25–35 minutes.","8: Step 4
Blend again until frosé is slushy.",9: Divide among glasses.,"10: Step 5
Do Ahead: Rosé can be frozen 1 week ahead.",,,,,,,,,,,,,
Foxy Lady,Other,N/A,Cocktail glass,N/A,Amaretto,1/2 oz ,Creme de Cacao,1/2 oz ,Light cream,2 oz ,,,,,,,,,,,,,,,,,,,,,,,,,"1: Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",,,,,,,,,,,,,,,,,,,,,,
French 75,Gin,N/A,Collins glass,N/A,Gin,1 1/2 oz ,Sugar,2 tsp superfine ,Lemon juice,1 1/2 oz ,Champagne,4 oz Chilled ,Orange,1 ,Maraschino cherry,1 ,,,,,,,,,,,,,,,,,,,"1: Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice.",2: Shake vigorously and strain into a chilled champagne glass.,3: Top up with Champagne.,4: Stir gently.,,,,,,,,,,,,,,,,,,,
Figgy Thyme,Vodka,N/A,Highball glass,N/A,Vodka,2 oz,Honey,1 tsp,Figs,3,Thyme,1 Sprig,Angostura Bitters,2 dashes,Tonic Water,Top,,,,,,,,,,,,,,,,,,,"1: In a lewis bag, crush up some ice like a baller/maniac (@glacioice).",2: Pour your precious ice into a collins glass.,"3: In a cocktail shaker, muddle the figs and thyme together.","4: Add honey vodka, lemon juice, and a large ice cube (@glacioice).","5: Shake until well chilled, and strain into glass.",6: Add tonic water and finally 2 dashes of angostura bitters.,7: Garnish with sliced figs and thyme.,,,,,,,,,,,,,,,,
Frisco Sour,Whiskey,N/A,Whiskey sour glass,N/A,Blended whiskey,2 oz ,Benedictine,1/2 oz ,Lemon,Juice of 1/4 ,Lime,Juice of 1/2 ,Lemon,1 slice ,Lime,1 slice ,,,,,,,,,,,,,,,,,,,1: Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass.,2: Decorate with the slices of lemon and lime and serve.,,,,,,,,,,,,,,,,,,,,,
Freddy Kruger,Vodka,N/A,Shot glass,N/A,Jägermeister,1/2 oz ,Sambuca,1/2 oz ,Vodka,1/2 oz ,,,,,,,,,,,,,,,,,,,,,,,,,1: make it an ample size shot!!.,,,,,,,,,,,,,,,,,,,,,,
Funk and Soul,Rum,N/A,Collins glass,N/A,Rum,2 shots,Apricot Nectar,1 shot,Pomegranate juice,1 shot,lemon,Juice of 1/2,Soda Water,Top,,,,,,,,,,,,,,,,,,,,,1: Mix all ingredients together and strain into a Collins glass.,2: Use Jamaican rum where possible for a more authentic taste.,,,,,,,,,,,,,,,,,,,,,
Fuzzy Asshole,Schnapps,N/A,Coffee mug,N/A,Coffee,1/2 ,Peach schnapps,1/2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: fill coffe mug half full of coffee.,2: Fill the other half full of Peach Schnapps.,3: Stir and drink while hot.,,,,,,,,,,,,,,,,,,,,
French Martini,Vodka,N/A,Cocktail glass,N/A,Vodka,4.5 cl,Raspberry Liqueur,1.5 cl,pineapple juice,1.5 cl,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour all ingredients into shaker with ice cubes.,2: Shake well and strain into a chilled cocktail glass.,3: Squeeze oil from lemon peel onto the drink.,,,,,,,,,,,,,,,,,,,,
French Negroni,Gin,N/A,Martini Glass,N/A,Gin,1 oz,Lillet,1 oz,Sweet Vermouth,1 oz,Orange Peel,1,,,,,,,,,,,,,,,,,,,,,,,1: Add ice to a shaker and pour in all ingredients.,"2: Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled.",3: Strain into a martini glass or over ice into a rocks glass.,4: Garnish with orange twist.,,,,,,,,,,,,,,,,,,,
Fahrenheit 5000,Other,N/A,Shot glass,N/A,Firewater,1/2 oz ,Absolut Peppar,1/2 oz ,Tabasco sauce,1 dash ,,,,,,,,,,,,,,,,,,,,,,,,,1: Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.,,,,,,,,,,,,,,,,,,,,,,
Flying Dutchman,Gin,N/A,Old-fashioned glass,N/A,Gin,2 oz ,Triple sec,1/2 oz ,,,,,,,,,,,,,,,,,,,,,,,,,,,"1: In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec.",2: Stir well.,,,,,,,,,,,,,,,,,,,,,
Frozen Daiquiri,Rum,N/A,Champagne flute,N/A,Light rum,1 1/2 oz ,Triple sec,1 tblsp ,Lime juice,1 1/2 oz ,Sugar,1 tsp ,Cherry,1 ,Ice,1 cup crushed ,,,,,,,,,,,,,,,,,,,"1: Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm.","2: Pour contents into a champagne flute, top with the cherry, and serve.",,,,,,,,,,,,,,,,,,,,,
Flying Scotchman,Scotch,N/A,Cocktail glass,N/A,Scotch,1 oz ,Sweet Vermouth,1 oz ,Bitters,1 dash ,Sugar syrup,1/4 tsp ,,,,,,,,,,,,,,,,,,,,,,,"1: Shake all ingredients with ice, strain into a cocktail glass, and serve.",,,,,,,,,,,,,,,,,,,,,,
French Connection,Cognac,N/A,Old-fashioned glass,N/A,Cognac,1 1/2 oz ,Amaretto,3/4 oz ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour all ingredients directly into old fashioned glass filled with ice cubes.,2: Stir gently.,,,,,,,,,,,,,,,,,,,,,
Flaming Dr. Pepper,Vodka,N/A,Collins Glass,N/A,Amaretto,1 oz ,Vodka,1 oz ,151 proof rum,1 oz Bacardi ,Dr. Pepper,1 oz ,Beer,1 oz ,,,,,,,,,,,,,,,,,,,,,"1: Add Amaretto, Bacardi, and vodka.",2: Mix in the Dr.,,,,,,,,,,,,,,,,,,,,,
Flaming Lamborghini,Baileys Irish Cream,N/A,Cocktail glass,N/A,Kahlua,1 oz ,Sambuca,1 oz ,Blue Curacao,1 oz ,Baileys irish cream,1 oz ,,,,,,,,,,,,,,,,,,,,,,,1: Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw.,2: Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass.,,,,,,,,,,,,,,,,,,,,,
Flander's Flake-Out,Other,N/A,Collins Glass,N/A,Sambuca,1/4 glass ,Sarsaparilla,3/4 glass ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Bang 'em both in.,,,,,,,,,,,,,,,,,,,,,,
Frozen Mint Daiquiri,Rum,N/A,Old-fashioned glass,N/A,Light rum,2 oz ,Lime juice,1 tblsp ,Mint,6 ,Sugar,1 tsp ,,,,,,,,,,,,,,,,,,,,,,,1: Combine all ingredients with 1 cup of crushed ice in an electric blender.,2: Blend at a low speed for a short length of time.,3: Pour into an old-fashioned glass and serve.,,,,,,,,,,,,,,,,,,,,
Frozen Pineapple Daiquiri,Rum,N/A,Cocktail Glass,N/A,Light rum,1 1/2 oz ,Pineapple,4 chunks ,Lime juice,1 tblsp ,Sugar,1/2 tsp ,,,,,,,,,,,,,,,,,,,,,,,1: Combine all ingredients with 1 cup of crushed ice in an electric blender.,2: Blend at a low speed for a short length of time.,3: Pour into a cocktail glass and serve.,,,,,,,,,,,,,,,,,,,,
Gimlet,Gin,N/A,Martini Glass,N/A,Gin,2 1/2 oz,Lime Juice,1/2 oz,Sugar Syrup,1/2 oz,Lime,1,,,,,,,,,,,,,,,,,,,,,,,1: Add all the ingredients to a shaker and fill with ice.,"2: Shake, and strain into a chilled cocktail glass or an Old Fashioned glass filled with fresh ice.",3: Garnish with a lime wheel.,,,,,,,,,,,,,,,,,,,,
Godchild,Vodka,N/A,Champagne flute,N/A,Vodka,1 oz ,Amaretto,1 oz ,Heavy cream,1 oz ,,,,,,,,,,,,,,,,,,,,,,,,,"1: Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.",,,,,,,,,,,,,,,,,,,,,,
Gin Fizz,Gin,N/A,Highball glass,N/A,Gin,2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Carbonated water,,,,,,,,,,,,,,,,,,,,,,,,"1: Shake all ingredients with ice cubes, except soda water.",2: Pour into glass.,3: Top with soda water.,,,,,,,,,,,,,,,,,,,,
Gin Sour,Gin,N/A,Whiskey sour glass,N/A,Gin,2 oz ,Lemon juice,1 oz ,Sugar,1/2 tsp superfine ,Orange,1 ,Maraschino cherry,1 ,,,,,,,,,,,,,,,,,,,,,"1: In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar.",2: Shake well.,3: Strain into a sour glass and garnish with the orange slice and the cherry.,,,,,,,,,,,,,,,,,,,,
Gagliardo,Vodka,N/A,Cocktail glass,N/A,Peach Vodka,5 parts ,Lemon juice,3 parts ,Galliano,1 part ,Sirup of roses,1 part ,,,,,,,,,,,,,,,,,,,,,,,1: Shake well and serve in a cocktail glass.,"2: This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy.",,,,,,,,,,,,,,,,,,,,,
Godmother,Vodka,N/A,Old-fashioned glass,N/A,Vodka,1 1/2 oz ,Amaretto,3/4 oz ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour vodka and amaretto into an old-fashioned glass over ice and serve.,,,,,,,,,,,,,,,,,,,,,,
Godfather,Scotch,N/A,Old-fashioned glass,N/A,Scotch,1 1/2 oz ,Amaretto,3/4 oz ,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour all ingredients directly into old fashioned glass filled with ice cubes.,2: Stir gently.,,,,,,,,,,,,,,,,,,,,,
Gin Tonic,Gin,N/A,Highball glass,N/A,Gin,4 cl,Tonic Water,10 cl,Lemon Peel,1 Slice,Ice,cubes,,,,,,,,,,,,,,,,,,,,,,,"1: Fill a highball glass with ice, pour the gin, top with tonic water and squeeze a lemon wedge and garnish with a lemon wedge.",,,,,,,,,,,,,,,,,,,,,,
Gin Toddy,Gin,N/A,Old-fashioned glass,N/A,Gin,2 oz ,Water,2 tsp ,Powdered sugar,1/2 tsp ,Lemon peel,1 twist of ,,,,,,,,,,,,,,,,,,,,,,,1: Mix powdered sugar and water in an old-fashioned glass.,2: Add gin and one ice cube.,"3: Stir, add the twist of lemon peel, and serve.",,,,,,,,,,,,,,,,,,,,
Gin Smash,Gin,N/A,Old-fashioned glass,N/A,Gin,2 oz ,Carbonated water,1 oz ,Sugar,1 cube ,Mint,4 ,Orange,1 slice ,Cherry,1 ,,,,,,,,,,,,,,,,,,,1: Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass.,2: Add gin and 1 ice cube.,"3: Stir, add the orange slice and the cherry, and serve.",,,,,,,,,,,,,,,,,,,,
Gin Daisy,Gin,N/A,Old-fashioned glass,N/A,Gin,2 oz ,Lemon juice,1 oz ,Sugar,1/2 tsp superfine ,Grenadine,1/2 tsp ,Maraschino cherry,1 ,Orange,1 ,,,,,,,,,,,,,,,,,,,"1: In a shaker half-filled with ice cubes, combine the gin, lemon juice, sugar, and grenadine.",2: Shake well.,3: Pour into an old-fashioned glass and garnish with the cherry and the orange slice.,,,,,,,,,,,,,,,,,,,,
Gin Lemon,Gin,N/A,Highball glass,N/A,Gin,6 cl,Lemon Juice,8 cl,Lemon Peel,1 Slice,Ice,cubes,,,,,,,,,,,,,,,,,,,,,,,1: For the preparation of the gin lemon you will not need the shaker.,"2: Fill the tumbler with ice, pour the gin and lemonade over it.",3: Gently mix and decorate with a slice of lemon.,4: Those who prefer can also add a few mint leaves.,5: Your gin lemon is ready to be served.,,,,,,,,,,,,,,,,,,
Gin Sling,Gin,N/A,Old-fashioned glass,N/A,Gin,2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Water,1 tsp ,Orange peel,Twist of ,,,,,,,,,,,,,,,,,,,,,1: Dissolve powdered sugar in mixture of water and juice of lemon.,2: Add gin.,3: Pour into an old-fashioned glass over ice cubes and stir.,4: Add the twist of orange peel and serve.,,,,,,,,,,,,,,,,,,,
Greyhound,Vodka,N/A,Collins glass,N/A,Vodka,1 1/2 oz,Grapefruit Juice,3 oz,,,,,,,,,,,,,,,,,,,,,,,,,,,1: Add the vodka to a Collins glass filled with ice.,2: Top with grapefruit juice and stir.,,,,,,,,,,,,,,,,,,,,,
Gin Rickey,Gin,N/A,Highball glass,N/A,Gin,2 oz ,Grenadine,1 tsp ,lemon,Juice of 1/2 ,Soda Water,Top up with,Lime,Garnish,,,,,,,,,,,,,,,,,,,,,1: Half-fill a tall glass with ice.,2: Mix the gin and Grenadine together and pour over the ice.,3: Add the lime or lemon juice and top off with soda water.,4: Decorate the glass with lime and/or lemon slices.,,,,,,,,,,,,,,,,,,,
Gin Squirt,Gin,N/A,Highball glass,N/A,Gin,1 1/2 oz ,Grenadine,1 tsp ,Powdered sugar,1 tblsp ,Pineapple,3 chunks,Strawberries,2 ,Carbonated water,,,,,,,,,,,,,,,,,,,,"1: Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes.",2: Fill with carbonated water and stir.,3: Decorate with the pineapple chunks and the strawberries and serve.,,,,,,,,,,,,,,,,,,,,
Grand Blue,Rum,N/A,Old-fashioned glass,N/A,Malibu rum,1 1/2 cl ,Peach schnapps,1 1/2 cl ,Blue Curacao,1 1/2 cl ,Sweet and sour,3 cl ,,,,,,,,,,,,,,,,,,,,,,,1: Serve in an old fashioned glass.,,,,,,,,,,,,,,,,,,,,,,
Gin Cooler,Gin,N/A,Collins glass,N/A,Gin,2 oz ,Carbonated water,,Powdered sugar,,Orange spiral,,Lemon peel,,,,,,,,,,,,,,,,,,,,,,1: Stir powdered sugar and 2 oz.,2: carbonated water in a collins glass.,3: Fill glass with ice and add gin.,4: Fill with carbonated water and stir.,5: Add the lemon peel and the orange spiral so that the end of the orange spiral dangles over rim of glass.,,,,,,,,,,,,,,,,,,
Gin Swizzle,Gin,N/A,Highball glass,N/A,Lime juice,1 1/2 oz ,Sugar,1 tsp superfine ,Gin,2 oz ,Bitters,1 dash ,Club soda,3 oz ,,,,,,,,,,,,,,,,,,,,,"1: In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters.",2: Shake well.,3: Almost fill a colling glass with ice cubes.,4: Stir until the glass is frosted.,5: Strain the mixture in the shaker into the glass and add the club soda.,,,,,,,,,,,,,,,,,,
Grass Skirt,Gin,N/A,Old-fashioned glass,N/A,Gin,1 1/2 oz ,Triple sec,1 oz ,Pineapple juice,1 oz ,Grenadine,1/2 tsp ,Pineapple,1 ,,,,,,,,,,,,,,,,,,,,,"1: In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine.",2: Shake well.,3: Pour into an old-fashioned glass and garnish with the pineapple slice.,,,,,,,,,,,,,,,,,,,,
Grasshopper,Other,N/A,Cocktail glass,N/A,Green Creme de Menthe,3/4 oz ,Creme de Cacao,3/4 oz white ,Light cream,3/4 oz ,,,,,,,,,,,,,,,,,,,,,,,,,1: Pour ingredients into a cocktail shaker with ice.,2: Shake briskly and then strain into a chilled cocktail glass.,,,,,,,,,,,,,,,,,,,,,
Grim Reaper,Rum,N/A,Old-fashioned glass,N/A,Kahlua,1 oz ,151 proof rum,1 oz Bacardi ,Grenadine,1 dash ,,,,,,,,,,,,,,,,,,,,,,,,,1: Mix Kahlua and 151 in glass.,2: Quickly add ice and pour grenadine over ice to give ice red tint.,,,,,,,,,,,,,,,,,,,,,
